"4695","Véloparc ZAC de la Minais","Route de Thouaré","44980","44172","Sainte-Luce-sur-Loire","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.2570468910427 , -1.46604870559555]"
"4696","Véloparc Place du Vieux Doulon","Place du Vieux Doulon","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.2352385553259 , -1.50293546668802]"
"4697","Véloparc Gare de Chantenay 1","Boulevard Maréchal Juin","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","2","7j/7j 24h/24h","Consigne Cocoon","SEMITAN","02 40 99 48 48","[ 47.1976766899467 , -1.59432984000177]"
"4699","Véloparc Maillardière","29 Rue de la Maillardière","44840","44198","Les Sorinières","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","4","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.1571883757524 , -1.52299322548736]"
"4700","Véloparc Papillons","50 Rue des Papillons","44840","44198","Les Sorinières","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","8","7j/7j 24h/24h","Consigne Cocoon 2,0 grise","SEMITAN","02 40 99 48 48","[ 47.1467213836224 , -1.51891022337116]"
"4702","Véloparc La Chantrerie","Route de Gachet","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","12","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.2822590601161 , -1.51786706917688]"
"4703","Véloparc La Chantrerie","Route de Gachet","44000","44109","Nantes","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","12","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.282119635992 , -1.51767304518773]"
"4704","Véloparc Gare Bouaye","Allée Louis Armand","44830","44018","Bouaye","Equipement vélo","Stationnement","Accès contrôlé gratuit","Nantes Métropole","12","7j/7j 24h/24h","Collectif abrité","SEMITAN","02 40 99 48 48","[ 47.1381998179996 , -1.68130210389645]"
"4705","Véloparc Gare de Basse-Indre","Gare de Basse-Indre","44800","44162","Saint-Herblain","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","10","7j/7j 24h/24h","Consigne","SEMITAN","02 40 99 48 48","[ 47.2042348955705 , -1.66014731585677]"
"4707","Véloparc Gare maritime","Quai Ernest Renaud","44000","44109","Nantes","Equipement vélo","Stationnement","Accès libre","Nantes Métropole","12","7j/7j 24h/24h","Consigne Cocoon","SEMITAN","02 40 99 48 48","[ 47.2062719703326 , -1.57271646177093]"
